id,program_areas,strategies
215,delete,delete
223,delete,delete
184,delete,delete
172,delete,delete
212,delete,delete
161,delete,delete
779,delete,delete
56,delete,delete
76,delete,delete
258,delete,delete
226,delete,delete
59,delete,delete
583,delete,delete
238,delete,delete
241,delete,delete
142,delete,delete
62,delete,delete
232,delete,delete
224,delete,delete
225,delete,delete
185,delete,delete
234,delete,delete
838,delete,delete
837,delete,delete
27,delete,delete
233,delete,delete
239,delete,delete
236,delete,delete
237,delete,delete
235,delete,delete
80,delete,delete
285,delete,delete
260,delete,delete
228,delete,delete
259,delete,delete
240,delete,delete
221,delete,delete
242,delete,delete
252,delete,delete
269,delete,delete
267,delete,delete
286,delete,delete
227,delete,delete
270,delete,delete
297,delete,delete
214,delete,delete
81,delete,delete
146,delete,delete
229,delete,delete
92,delete,delete
137,delete,delete
133,delete,delete
231,delete,delete
230,delete,delete
584,delete,delete
163,delete,delete
201,delete,delete
61,delete,delete
271,delete,delete
148,delete,delete
244,delete,delete
724,delete,delete
243,delete,delete
780,delete,delete
585,delete,delete
778,delete,delete
118,delete,delete
218,delete,delete
222,delete,delete
262,delete,delete
220,delete,delete
840,delete,delete
22,delete,delete
916,delete,delete
246,delete,delete
275,delete,delete
272,delete,delete
191,delete,delete
253,delete,delete
45,delete,delete
2,delete,delete
263,delete,delete
248,delete,delete
15,delete,delete
245,delete,delete
165,delete,delete
265,delete,delete
247,delete,delete
316,delete,delete
273,delete,delete
586,delete,delete
251,delete,delete
190,delete,delete
254,delete,delete
249,delete,delete
256,delete,delete
167,delete,delete
255,delete,delete
288,delete,delete
189,delete,delete
257,delete,delete
278,delete,delete
66,delete,delete
277,delete,delete
250,delete,delete
207,delete,delete
104,delete,delete
287,delete,delete
213,delete,delete
156,delete,delete
776,delete,delete
775,delete,delete
311,delete,delete
774,delete,delete
317,delete,delete
124,delete,delete
129,delete,delete
131,delete,delete
132,delete,delete
138,delete,delete
135,delete,delete
102,delete,delete
357,delete,delete
352,delete,delete
419,delete,delete
141,delete,delete
47,delete,delete
289,delete,delete
19,delete,delete
170,delete,delete
121,delete,delete
123,delete,delete
110,delete,delete
90,delete,delete
210,delete,delete
30,delete,delete
298,delete,delete
38,delete,delete
179,delete,delete
291,delete,delete
356,delete,delete
292,delete,delete
299,delete,delete
309,delete,delete
12,delete,delete
380,delete,delete
293,delete,delete
280,delete,delete
300,delete,delete
46,delete,delete
103,delete,delete
26,delete,delete
363,delete,delete
417,delete,delete
306,delete,delete
107,delete,delete
140,delete,delete
95,delete,delete
294,delete,delete
266,delete,delete
119,delete,delete
25,delete,delete
96,delete,delete
295,delete,delete
113,delete,delete
86,delete,delete
44,delete,delete
128,delete,delete
303,delete,delete
127,delete,delete
34,delete,delete
144,delete,delete
115,delete,delete
1,delete,delete
91,delete,delete
126,delete,delete
304,delete,delete
154,delete,delete
194,delete,delete
282,delete,delete
198,delete,delete
155,delete,delete
181,delete,delete
186,delete,delete
305,delete,delete
17,delete,delete
120,delete,delete
211,delete,delete
153,delete,delete
183,delete,delete
147,delete,delete
84,delete,delete
29,delete,delete
164,delete,delete
364,delete,delete
94,delete,delete
88,delete,delete
78,delete,delete
64,delete,delete
152,delete,delete
151,delete,delete
51,delete,delete
11,delete,delete
71,delete,delete
7,delete,delete
99,delete,delete
72,delete,delete
97,delete,delete
114,delete,delete
77,delete,delete
20,delete,delete
307,delete,delete
35,delete,delete
41,delete,delete
36,delete,delete
196,delete,delete
23,delete,delete
50,delete,delete
58,delete,delete
24,delete,delete
10,delete,delete
9,delete,delete
6,delete,delete
42,delete,delete
43,delete,delete
54,delete,delete
55,delete,delete
57,delete,delete
53,delete,delete
69,delete,delete
73,delete,delete
67,delete,delete
60,delete,delete
85,delete,delete
70,delete,delete
100,delete,delete
101,delete,delete
108,delete,delete
98,delete,delete
203,delete,delete
83,delete,delete
515,delete,delete
112,delete,delete
116,delete,delete
89,delete,delete
125,delete,delete
122,delete,delete
143,delete,delete
192,delete,delete
136,delete,delete
145,delete,delete
134,delete,delete
130,delete,delete
75,delete,delete
204,delete,delete
781,delete,delete
117,delete,delete
371,delete,delete
111,delete,delete
93,delete,delete
173,delete,delete
65,delete,delete
14,delete,delete
158,delete,delete
205,delete,delete
476,delete,delete
49,delete,delete
199,delete,delete
63,delete,delete
39,delete,delete
477,delete,delete
782,delete,delete
5,delete,delete
149,delete,delete
48,delete,delete
159,delete,delete
187,delete,delete
475,delete,delete
480,delete,delete
68,delete,delete
478,delete,delete
479,delete,delete
197,delete,delete
18,delete,delete
3,delete,delete
37,delete,delete
52,delete,delete
784,delete,delete
169,delete,delete
188,delete,delete
171,delete,delete
182,delete,delete
202,delete,delete
177,delete,delete
209,delete,delete
178,delete,delete
847,delete,delete
168,delete,delete
783,delete,delete
323,delete,delete
321,delete,delete
279,delete,delete
315,delete,delete
314,delete,delete
193,delete,delete
312,delete,delete
32,delete,delete
281,delete,delete
318,delete,delete
308,delete,delete
322,delete,delete
324,delete,delete
341,delete,delete
325,delete,delete
431,delete,delete
174,delete,delete
365,delete,delete
326,delete,delete
274,delete,delete
176,delete,delete
217,delete,delete
166,delete,delete
334,delete,delete
327,delete,delete
264,delete,delete
330,delete,delete
343,delete,delete
328,delete,delete
310,delete,delete
331,delete,delete
296,delete,delete
276,delete,delete
175,delete,delete
469,delete,delete
333,delete,delete
332,delete,delete
434,delete,delete
467,delete,delete
313,delete,delete
268,delete,delete
339,delete,delete
290,delete,delete
335,delete,delete
338,delete,delete
301,delete,delete
474,delete,delete
79,delete,delete
344,delete,delete
366,delete,delete
368,delete,delete
468,delete,delete
470,delete,delete
369,delete,delete
336,delete,delete
342,delete,delete
337,delete,delete
31,delete,delete
340,delete,delete
157,delete,delete
302,delete,delete
8,delete,delete
374,delete,delete
358,delete,delete
347,delete,delete
319,delete,delete
180,delete,delete
106,delete,delete
367,delete,delete
372,delete,delete
351,delete,delete
421,delete,delete
345,delete,delete
423,delete,delete
4,delete,delete
370,delete,delete
376,delete,delete
377,delete,delete
375,delete,delete
514,delete,delete
346,delete,delete
373,delete,delete
208,delete,delete
471,delete,delete
362,delete,delete
361,delete,delete
350,delete,delete
21,delete,delete
416,delete,delete
349,delete,delete
105,delete,delete
74,delete,delete
378,delete,delete
381,delete,delete
422,delete,delete
415,delete,delete
109,delete,delete
28,delete,delete
355,delete,delete
33,delete,delete
216,delete,delete
354,delete,delete
139,delete,delete
353,delete,delete
382,delete,delete
819,delete,delete
418,delete,delete
521,delete,delete
517,delete,delete
519,delete,delete
379,delete,delete
516,delete,delete
518,delete,delete
429,delete,delete
587,delete,delete
522,delete,delete
428,delete,delete
426,delete,delete
527,delete,delete
528,delete,delete
424,delete,delete
526,delete,delete
591,delete,delete
590,delete,delete
588,delete,delete
589,delete,delete
546,delete,delete
420,delete,delete
538,delete,delete
525,delete,delete
592,delete,delete
261,delete,delete
714,delete,delete
544,delete,delete
40,delete,delete
537,delete,delete
540,delete,delete
713,delete,delete
542,delete,delete
820,delete,delete
711,delete,delete
539,delete,delete
594,delete,delete
715,delete,delete
676,delete,delete
548,delete,delete
547,delete,delete
473,delete,delete
630,delete,delete
632,delete,delete
545,delete,delete
481,delete,delete
16,delete,delete
530,delete,delete
634,delete,delete
523,delete,delete
532,delete,delete
529,delete,delete
533,delete,delete
520,delete,delete
534,delete,delete
472,delete,delete
531,delete,delete
710,delete,delete
550,delete,delete
821,delete,delete
636,delete,delete
639,delete,delete
674,delete,delete
673,delete,delete
721,delete,delete
717,delete,delete
716,delete,delete
672,delete,delete
822,delete,delete
718,delete,delete
722,delete,delete
833,delete,delete
767,delete,delete
549,delete,delete
638,delete,delete
824,delete,delete
827,delete,delete
826,delete,delete
524,delete,delete
828,delete,delete
772,delete,delete
830,delete,delete
823,delete,delete
832,delete,delete
766,delete,delete
757,delete,delete
760,delete,delete
763,delete,delete
769,delete,delete
764,delete,delete
758,delete,delete
765,delete,delete
677,delete,delete
834,delete,delete
770,delete,delete
762,delete,delete
720,delete,delete
966,delete,delete
771,delete,delete
219,delete,delete
675,delete,delete
13,delete,delete
777,delete,delete
842,delete,delete
200,delete,delete
836,delete,delete
843,delete,delete
841,delete,delete
844,delete,delete
845,delete,delete
825,delete,delete
852,delete,delete
536,delete,delete
909,delete,delete
329,delete,delete
195,delete,delete
283,delete,delete
150,delete,delete
931,delete,delete
846,delete,delete
925,delete,delete
835,delete,delete
854,delete,delete
935,delete,delete
943,delete,delete
853,delete,delete
851,delete,delete
848,delete,delete
922,delete,delete
920,delete,delete
937,delete,delete
927,delete,delete
928,delete,delete
898,delete,delete
932,delete,delete
941,delete,delete
759,delete,delete
942,delete,delete
284,delete,delete
899,delete,delete
860,delete,delete
861,delete,delete
855,delete,delete
858,delete,delete
857,delete,delete
87,delete,delete
859,delete,delete
856,delete,delete
635,delete,delete
917,delete,delete
862,delete,delete
897,delete,delete
904,delete,delete
430,delete,delete
863,delete,delete
903,delete,delete
896,delete,delete
901,delete,delete
933,delete,delete
939,delete,delete
629,delete,delete
633,delete,delete
911,delete,delete
850,delete,delete
907,delete,delete
912,delete,delete
906,delete,delete
921,delete,delete
910,delete,delete
773,delete,delete
908,delete,delete
905,delete,delete
915,delete,delete
919,delete,delete
923,delete,delete
627,delete,delete
914,delete,delete
918,delete,delete
934,delete,delete
82,delete,delete
924,delete,delete
913,delete,delete
977,delete,delete
979,delete,delete
978,delete,delete
162,delete,delete
432,delete,delete
926,delete,delete
930,delete,delete
160,delete,delete
831,delete,delete
936,delete,delete
960,delete,delete
360,delete,delete
938,delete,delete
902,delete,delete
944,delete,delete
206,delete,delete
940,delete,delete
962,delete,delete
945,delete,delete
929,delete,delete
946,delete,delete
829,delete,delete
961,delete,delete
980,delete,delete
817,delete,delete
948,delete,delete
949,delete,delete
968,delete,delete
359,delete,delete
950,delete,delete
969,delete,delete
967,delete,delete
981,delete,delete
951,delete,delete
947,delete,delete
955,delete,delete
433,delete,delete
954,delete,delete
953,delete,delete
768,delete,delete
958,delete,delete
761,delete,delete
723,delete,delete
719,delete,delete
971,delete,delete
957,delete,delete
959,delete,delete
637,delete,delete
982,delete,delete
984,delete,delete
976,delete,delete
628,delete,delete
973,delete,delete
970,delete,delete
543,delete,delete
983,delete,delete
631,delete,delete
320,delete,delete
593,delete,delete
712,delete,delete
425,delete,delete
972,delete,delete
963,delete,delete
818,delete,delete
535,delete,delete
427,delete,delete
965,delete,delete
956,delete,delete