Organization Name,Docket Record Name,Request Number,Program Areas,Strategies
"TransitCenter, Inc.","23-35613 - TransitCenter, Inc.",23-35613,delete,delete
"United Way of Central Massachusetts, Inc.","23-35743 - United Way of Central Massachusetts, Inc.",23-35743,delete,delete
"United Way of Massachusetts Bay, Inc.","23-35745 - United Way of Massachusetts Bay, Inc.",23-35745,delete,delete
"Alliance for Business Leadership, Inc.","23-35372 - Alliance for Business Leadership, Inc.",23-35372,delete,delete
"Environmental League of Massachusetts, Inc.","23-35375 - Environmental League of Massachusetts, Inc.",23-35375,delete,delete
"Interstate Renewable Energy Council, Inc.","23-35419 - Interstate Renewable Energy Council, Inc.",23-35419,delete,delete
"WalkBoston, Inc.","22-35266 - WalkBoston, Inc.",22-35266,delete,delete
"Partnership Project, Inc.",23-35403 - Climate Advocacy Lab,23-35403,delete,delete
FII - National dba UpTogether,23-35466 - FII - National dba UpTogether,23-35466,delete,delete
Benjamin Franklin Institute of Technology,23-35468 - Benjamin Franklin Institute of Technology,23-35468,delete,delete
"Boston Foundation, Inc.","23-35467 - Boston Foundation, Inc.",23-35467,delete,delete
"Black Economic Council of Massachusetts, Inc.","23-35465 - Black Economic Council of Massachusetts, Inc.",23-35465,delete,delete
"Boston Harbor Now, Inc.","23-35486 - Boston Harbor Now, Inc.",23-35486,delete,delete
Piers Park Sailing Center,23-35589 - Piers Park Sailing Center,23-35589,delete,delete
"Boston Harbor Now, Inc.","23-35588 - Boston Harbor Now, Inc.",23-35588,delete,delete
The Harborkeepers,23-35442 - The Harborkeepers,23-35442,delete,delete
"Boston Harbor Now, Inc.","22-35274 - Boston Harbor Now, Inc.",22-35274,delete,delete
"Mystic River Watershed Association, Inc.","23-35480 - Mystic River Watershed Association, Inc.",23-35480,delete,delete
"Thompson Island Outward Bound Education Center, Inc.","22-35278 - Thompson Island Outward Bound Education Center, Inc.",22-35278,delete,delete
"CropCircle Kitchen, Inc. d/b/a CommonWealth Kitchen","23-35575 - CropCircle Kitchen, Inc. d/b/a CommonWealth Kitchen",23-35575,delete,delete
"Grub Street, Inc.","23-35574 - Grub Street, Inc.",23-35574,delete,delete
"Political Asylum Immigration Representation Project, Inc.","23-35610 - Political Asylum Immigration Representation Project, Inc.",23-35610,delete,delete
Borealis Philanthropy,23-35245 - Borealis Philanthropy,22-35245,delete,delete
"Third Sector New England, Inc.",23-35509 - Commonwealth Seminar,23-35509,delete,delete
"Greater Boston Chamber of Commerce Foundation, Inc.","23-35454 - Greater Boston Chamber of Commerce Foundation, Inc.",23-35454,delete,delete
"Massachusetts Budget and Policy Center, Inc.","23-35456 - Massachusetts Budget and Policy Center, Inc.",23-35456,delete,delete
"World Music, Inc. d/b/a Global Arts Live","23-35576 - World Music, Inc. d/b/a Global Arts Live",23-35576,delete,delete
"Double Edge Theatre Productions, Inc.",23-35674 - Ohketeau Cultural Center,23-35674,delete,delete
"Castle of Our Skins, Inc.","23-35667 - Castle of Our Skins, Inc.",23-35667,delete,delete
"Tiny Seed Project, Inc",23-35668 - Danza Organica,23-35668,delete,delete
"Hyde Square Task Force, Inc.","23-35671 - Hyde Square Task Force, Inc.",23-35671,delete,delete
"Elevated Thought Foundation, Inc.","23-35669 - Elevated Thought Foundation, Inc.",23-35669,delete,delete
"Angkor Dance Troupe, Inc.","23-35665 - Angkor Dance Troupe, Inc.",23-35665,delete,delete
Aquinnah Cultural Center,23-35666 - Aquinnah Cultural Center,23-35666,delete,delete
"Theatrezone, Inc.",23-35675 - Teatro Chelsea,23-35675,delete,delete
Front Porch Arts Collective of Boston,23-35670 - Front Porch Arts Collective of Boston,23-35670,delete,delete
"The Loop Lab, Inc.","23-35672 - The Loop Lab, Inc.",23-35672,delete,delete
Abilities Dance Incorporated,23-35664 - Abilities Dance Incorporated,23-35664,delete,delete
"3rd Eye Youth Empowerment, Inc.","23-35662 - 3rd Eye Youth Empowerment, Inc.",23-35662,delete,delete
"Southeast Asian Coalition of Central Massachusetts, Inc.","23-35673 - Southeast Asian Coalition of Central Massachusetts, Inc.",23-35673,delete,delete
"Greater Worcester Community Foundation, Inc.","22-35301 - Greater Worcester Community Foundation, Inc.",22-35301,delete,delete
"Jean Appolon Expressions, Inc.","23-35492 - Jean Appolon Expressions, Inc.",23-35492,delete,delete
"Essex County Community Foundation, Inc.","23-35364 - Essex County Community Foundation, Inc.",23-35364,delete,delete
"EdVestors, Inc.","23-35463 - EdVestors, Inc.",23-35463,delete,delete
"Jean Appolon Expressions, Inc.","23-35661 - Jean Appolon Expressions, Inc.",23-35661,delete,delete
"The Berkshire Taconic Community Foundation, Inc.","23-35452 - The Berkshire Taconic Community Foundation, Inc.",23-35452,delete,delete
Community Foundation of Western Massachusetts,22-35271 - Community Foundation of Western Massachusetts,22-35271,delete,delete
"Third Sector New England, Inc.",23-35294 - Boston Cultural Leaders Coalition,22-35294,delete,delete
"Zeiterion Theatre, Inc.","23-35451 - Zeiterion Theatre, Inc.",23-35451,delete,delete
"Philanthropy Massachusetts, Inc.","23-35572 - Philanthropy Massachusetts, Inc.",23-35572,delete,delete
"Center for Effective Philanthropy, Inc.","23-35383 - Center for Effective Philanthropy, Inc.",23-35383,delete,delete
"New Bedford Fishing Heritage Center, Inc.","23-35476 - New Bedford Fishing Heritage Center, Inc.",23-35476,delete,delete
"GreenRoots, Inc.","23-35469 - GreenRoots, Inc.",23-35469,delete,delete
"New Bedford Museum and Art Center, Inc.","23-35477 - New Bedford Museum and Art Center, Inc.",23-35477,delete,delete
"NECEC Institute, Inc.","23-35590 - NECEC Institute, Inc.",23-35590,delete,delete
World Resources Institute,23-35392 - World Resources Institute,23-35392,delete,delete
"New Bedford Historical Society, Inc.",23-35499 - New Bedford Historical Society,23-35499,delete,delete
"Chelsea Collaborative, Inc. dba La Colaborativa, Inc.","23-35432 - Chelsea Collaborative, Inc. dba La Colaborativa, Inc.",23-35432,delete,delete
Old Dartmouth Historical Society dba New Bedford Whaling Museum,23-35470 - Old Dartmouth Historical Society dba New Bedford Whaling Museum,23-35470,delete,delete
Rocky Mountain Institute,23-35393 - Rocky Mountain Institute,23-35393,delete,delete
Center for Coalfield Justice,23-35390 - Center for Coalfield Justice,23-35390,delete,delete
Acadia Center,23-35391 - Acadia Center,23-35391,delete,delete
Performing Arts Center of Los Angeles County,23-35413 - Performing Arts Center of Los Angeles County,23-35413,delete,delete
"Resist, Inc.",23-35607 - Resource Organizing Project,23-35607,delete,delete
MASS Design Group LTD,23-35475 - MASS Design Group LTD,23-35475,delete,delete
"Essex County Community Foundation, Inc.","23-35566 - Essex County Community Foundation, Inc.",23-35566,delete,delete
"Boston Foundation, Inc.","23-35464 - Boston Foundation, Inc.",23-35464,delete,delete
"Conservation Law Foundation, Inc.",23-35369 - Slingshot,23-35369,delete,delete
"Massachusetts Museum of Contemporary Art Foundation, Inc.","23-35414 - Massachusetts Museum of Contemporary Art Foundation, Inc.",23-35414,delete,delete
"Deeply Rooted Productions, Inc.",23-35415 - Deeply Rooted Dance Theater,23-35415,delete,delete
"MASSCreative, Inc.","23-35563 - MASSCreative, Inc.",23-35563,delete,delete
Trustees of Boston University,23-35379 - Boston Women's Workforce Council,23-35379,delete,delete
"PEAK Grantmaking, Inc.","23-35367 - PEAK Grantmaking, Inc.",23-35367,delete,delete
"Massachusetts Nonprofit Network, Inc.","23-35348 - Massachusetts Nonprofit Network, Inc.",23-35348,delete,delete
"Third Sector New England, Inc.",23-35331 - Building Movement Project,23-35331,delete,delete
National Committee for Responsive Philanthropy,23-35358 - National Committee for Responsive Philanthropy,23-35358,delete,delete
"Media Impact Funders, Inc.","23-35355 - Media Impact Funders, Inc.",23-35355,delete,delete
Communication Network,23-35325 - Communication Network,23-35325,delete,delete
Independent Sector,23-35328 - Independent Sector,23-35328,delete,delete
"Association of Black Foundation Executives, Inc.","23-35333 - Association of Black Foundation Executives, Inc.",23-35333,delete,delete
"The Funders Network, Inc.","23-35319 - The Funders Network, Inc.",23-35319,delete,delete
Grantmakers in the Arts,23-35339 - Grantmakers in the Arts,23-35339,delete,delete
"PEAK Grantmaking, Inc.","23-35326 - PEAK Grantmaking, Inc.",23-35326,delete,delete
"Philanthropy Massachusetts, Inc.",23-35338 - Boston Education Funders,23-35338,delete,delete
Technology Association of Grantmakers,23-35351 - Technology Association of Grantmakers,23-35351,delete,delete
Hispanics in Philanthropy,23-35321 - Hispanics in Philanthropy,23-35321,delete,delete
Consultative Group on Biological Diversity,23-35334 - Consultative Group on Biological Diversity,23-35334,delete,delete
Native Americans in Philanthropy,23-35659 - Native Americans in Philanthropy,23-35659,delete,delete
"Council on Foundations, Inc.","23-35357 - Council on Foundations, Inc.",23-35357,delete,delete
Environmental Grantmakers Association,23-35335 - Environmental Grantmakers Association,23-35335,delete,delete
Asian American-Pacific Islanders in Philanthropy,23-35320 - Asian American-Pacific Islanders in Philanthropy,23-35320,delete,delete
"City Parks Alliance, Inc.","23-35336 - City Parks Alliance, Inc.",23-35336,delete,delete
"Grantmakers Council of Rhode Island, Inc.","23-35347 - Grantmakers Council of Rhode Island, Inc.",23-35347,delete,delete
Grantmakers for Education,23-35341 - Grantmakers for Education,23-35341,delete,delete
"New England Blacks in Philanthropy, Inc.","23-35342 - New England Blacks in Philanthropy, Inc.",23-35342,delete,delete
"Philanthropy Massachusetts, Inc.","23-35353 - Philanthropy Massachusetts, Inc.",23-35353,delete,delete
National Public Education Support Fund,23-35340 - National Public Education Support Fund,23-35340,delete,delete
Grantmakers for Effective Organizations,23-35359 - Grantmakers for Effective Organizations,23-35359,delete,delete
Innovation Network for Communities,23-35663 - The Climate Beacon Project Inc.,23-35663,delete,delete
"Conservation Law Foundation, Inc.","23-35366 - Massachusetts Environmental Education Society, Inc.",23-35366,delete,delete
Allston Brighton Community Development Corporation,23-35517 - Allston Brighton Health Collaborative,23-35517,delete,delete
"Mystic River Watershed Association, Inc.","23-35480 - Mystic River Watershed Association, Inc.",23-35480,delete,delete
"Cambridge Community Center, Inc.","23-35646 - Cambridge Community Center, Inc.",23-35646,delete,delete
"Charles River Watershed Association, Inc.","23-35584 - Charles River Watershed Association, Inc.",23-35584,delete,delete
Massachusetts Foundation for the Humanities,23-35680 - Massachusetts Foundation for the Humanities,23-35680,delete,delete
Clean Water Fund,23-35616 - Clean Water Fund,23-35616,delete,delete
Hyams Foundation,23-35478 - Hyams Foundation,23-35478,delete,delete
"Environmental Defense Fund, Inc.","23-35585 - Environmental Defense Fund, Inc.",23-35585,delete,delete
One Square World,23-35654 - One Square World,23-35654,delete,delete
Amalgamated Charitable Foundation Inc,23-35676 - Communities First Fund,23-35676,delete,delete
"Northeast Energy Efficiency Partnerships, Inc.","23-35553 - Northeast Energy Efficiency Partnerships, Inc.",23-35553,delete,delete
City of Providence,22-35285 - City of Providence,22-35285,delete,delete
Regulatory Assistance Project,22-35283 - Regulatory Assistance Project,22-35283,delete,delete
"Mystic River Watershed Association, Inc.","23-35485 - Mystic River Watershed Association, Inc.",23-35485,delete,delete
Advanced Energy Economy Institute dba Advanced Energy Institute,23-35402 - Advanced Energy Economy Institute,23-35402,delete,delete
United States Energy Foundation,22-35248 - United States Energy Foundation,22-35248,delete,delete
"350VERMONT, Inc.","23-35399 - 350VERMONT, Inc.",23-35399,delete,delete
"Applied Economics Clinic, Inc.","22-35287 - Applied Economics Clinic, Inc.",22-35287,delete,delete
Renew New England Alliance,23-35612 - Renew New England Alliance,23-35612,delete,delete
"Conservation Law Foundation, Inc.",23-35542 - Slingshot,23-35542,delete,delete
"Connecticut Roundtable on Climate and Jobs, Inc.","23-35458 - Connecticut Roundtable on Climate and Jobs, Inc.",23-35458,delete,delete
Center for the Study of Public Policy Incorporated,23-35457 - Building Electrification Accelerator,23-35457,delete,delete
"Rights and Democracy Education Fund, Inc. d.b.a. Rights and Democracy Institute","23-35455 - Rights and Democracy Education Fund, Inc.",23-35455,delete,delete
"Clean Energy States Alliance, Inc.","23-35459 - Clean Energy States Alliance, Inc.",23-35459,delete,delete
Vote Solar,23-35474 - Vote Solar,23-35474,delete,delete
"Clean Energy Group, Inc.","22-35286 - Clean Energy Group, Inc.",22-35286,delete,delete
Sierra Club Foundation,22-35288 - Sierra Club Foundation,22-35288,delete,delete
"Partnership Project, Inc.",23-35489 - Climate Advocacy Lab,23-35489,delete,delete
"Resist, Inc.",23-35460 - Boston Climate Action Network,23-35460,delete,delete
Innovation Network for Communities,23-35552 - Building Electrification Institute,23-35552,delete,delete
"Mothers Out Front, Inc.","23-35400 - Mothers Out Front, Inc.",23-35400,delete,delete
"Unitarian Universalist Massachusetts Action Network, Inc.","23-35581 - Unitarian Universalist Massachusetts Action Network, Inc.",23-35581,delete,delete
Acadia Center,23-35404 - Acadia Center,23-35404,delete,delete
Sharing Inc. DBA Shareable,23-35450 - Sharing Inc. DBA Shareable,23-35450,delete,delete
"Mystic River Watershed Association, Inc.","23-35485 - Mystic River Watershed Association, Inc.",23-35485,delete,delete
"Clean Energy Group, Inc.","22-35286 - Clean Energy Group, Inc.",22-35286,delete,delete
"Resist, Inc.",23-35460 - Boston Climate Action Network,23-35460,delete,delete
Innovation Network for Communities,23-35663 - The Climate Beacon Project Inc.,23-35663,delete,delete
Merrimack Valley Regional Transit Authority,23-35644 - Merrimack Valley Regional Transit Authority,23-35644,delete,delete
"Bikes Not Bombs, Inc.","23-35513 - Bikes Not Bombs, Inc.",23-35513,delete,delete
"National Association of City Transportation Officials, Inc.","23-35380 - National Association of City Transportation Officials, Inc.",23-35380,delete,delete
Institute for Transportation and Development Policy,23-35512 - Institute for Transportation and Development Policy,23-35512,delete,delete
"National Association of City Transportation Officials, Inc.","23-35514 - National Association of City Transportation Officials, Inc.",23-35514,delete,delete
Allston Brighton Community Development Corporation,23-35517 - Allston Brighton Health Collaborative,23-35517,delete,delete
Massachusetts Public Health Association,23-35394 - Massachusetts Public Health Association,23-35394,delete,delete
"Alternatives for Community and Environment, Inc.","23-35681 - Alternatives for Community and Environment, Inc.",23-35681,delete,delete
Allston Brighton Community Development Corporation,23-35517 - Allston Brighton Health Collaborative,23-35517,delete,delete
Innovation Network for Communities,23-35663 - The Climate Beacon Project Inc.,23-35663,delete,delete
"Norman B. Leventhal Map Center, Inc.","22-35182 - Norman B. Leventhal Map Center, Inc.",22-35182,delete,delete
"New England Foundation for the Arts, Inc.","22-35302 - New England Foundation for the Arts, Inc.",22-35302,delete,delete
"Massachusetts Museum of Contemporary Art Foundation, Inc.","22-35305 - Massachusetts Museum of Contemporary Art Foundation, Inc.",22-35305,delete,delete
Massachusetts Development Finance Agency,22-35296 - Massachusetts Development Finance Agency,22-35296,delete,delete
Freshgrass Public Foundation,23-35660 - The Office,23-35660,delete,delete
"New England Blacks in Philanthropy, Inc.","23-35462 - New England Blacks in Philanthropy, Inc.",23-35462,delete,delete
Independent Sector,23-35522 - Independent Sector,23-35522,delete,delete
United Philanthropy Forum,23-35445 - United Philanthropy Forum,23-35445,delete,delete
"Council on Foundations, Inc.","23-35524 - Council on Foundations, Inc.",23-35524,delete,delete
"Social Innovation Forum, Inc.","23-35678 - Social Innovation Forum, Inc.",23-35678,delete,delete
The Lenny Zakim Fund,23-35543 - The Lenny Zakim Fund,23-35543,delete,delete
"Rockefeller Philanthropy Advisors, Inc.",23-35483 - Fund for Shared Insight,23-35483,delete,delete
Tides Center,23-35651 - Listen4Good,23-35651,delete,delete
"Flourish Agenda, Inc.","23-35446 - Flourish Agenda, Inc.",23-35446,delete,delete
Capitol Region Education Council,23-35529 - Capitol Region Education Council,23-35529,delete,delete
Winooski School District,23-35629 - Winooski School District,23-35629,delete,delete
Agawam Public Schools,23-35531 - Agawam Public Schools,23-35531,delete,delete
Prospect Hill Academy Charter School Foundation,23-35602 - Prospect Hill Academy Charter School Foundation,23-35602,delete,delete
Lowell Public Schools,23-35634 - Lowell Public Schools,23-35634,delete,delete
Barnstable Public Schools,23-35532 - Barnstable Public Schools,23-35532,delete,delete
Central Falls School District,22-35275 - Central Falls School District,22-35275,delete,delete
Milford Public Schools,23-35537 - Milford Public Schools,23-35537,delete,delete
Grantmakers for Education,23-35608 - Grantmakers for Education,23-35608,delete,delete
Millbury Public Schools,23-35538 - Millbury Public Schools,23-35538,delete,delete
Area Cooperative Educational Services,23-35603 - Area Cooperative Educational Services,23-35603,delete,delete
Taunton Public Schools,23-35539 - Taunton Public Schools,23-35539,delete,delete
Chelsea Public Schools,23-35528 - Chelsea Public Schools,23-35528,delete,delete
Gateway Regional School District,23-35535 - Gateway Regional School District,23-35535,delete,delete
Franklin School District SAU 18,23-35683 - Franklin School District SAU 18,23-35683,delete,delete
"Transcend, Inc.","23-35606 - Transcend, Inc.",23-35606,delete,delete
New Venture Fund,23-35641 - Leading Now,23-35641,delete,delete
New Venture Fund,22-35273 - Leading Now,22-35273,delete,delete
"Teach for America, Inc.","23-35647 - Teach for America, Inc.",23-35647,delete,delete
"Educators for Excellence, Inc.","23-35433 - Educators for Excellence, Inc.",23-35433,delete,delete
"TNTP, Inc.","23-35354 - TNTP, Inc.",23-35354,delete,delete
National Council on Teacher Quality,23-35484 - National Council on Teacher Quality,23-35484,delete,delete
"Great Schools Partnership, Inc.","23-35648 - Great Schools Partnership, Inc.",23-35648,delete,delete
Relay Graduate School of Education,23-35555 - Relay Graduate School of Education,23-35555,delete,delete
"Education Reform Now, Inc.","23-35412 - Education Reform Now, Inc.",23-35412,delete,delete
"Educators for Excellence, Inc.","23-35571 - Educators for Excellence, Inc.",23-35571,delete,delete
"Our Turn, Inc.","23-35624 - Our Turn, Inc.",23-35624,delete,delete
"50CAN, Inc.","23-35625 - Connecticut Coalition for Achievement Now, Inc.",23-35625,delete,delete
New Venture Fund,23-35556 - Campaign for Our Shared Future,23-35556,delete,delete
"Nellie Mae Education Foundation, Inc.","23-35411 - Nellie Mae Education Foundation, Inc.",23-35411,delete,delete
"Boston Schools Fund, Inc.","23-35525 - Boston Schools Fund, Inc.",23-35525,delete,delete
"50CAN, Inc.",23-35541 - SchoolFacts Boston,23-35541,delete,delete
Georgetown University,23-35421 - Georgetown University,23-35421,delete,delete
Rennie Center for Education Research and Policy,23-35569 - Rennie Center for Education Research and Policy,23-35569,delete,delete
"50CAN, Inc.","23-35420 - 50CAN, Inc.",23-35420,delete,delete
Parents Leading for Educational Equity,23-35545 - Parents Leading for Educational Equity,23-35545,delete,delete
Citizens for Juvenile Justice,23-35565 - Citizens for Juvenile Justice,23-35565,delete,delete
Georgetown University,23-35682 - Georgetown University,23-35682,delete,delete
"Lawyers for Civil Rights, Inc.","23-35554 - Lawyers for Civil Rights, Inc.",23-35554,delete,delete
"The Record Company, Inc.","23-35493 - The Record Company, Inc.",23-35493,delete,delete
"The Berkshire Taconic Community Foundation, Inc.","23-35368 - The Berkshire Taconic Community Foundation, Inc.",23-35368,delete,delete
Benjamin Franklin Institute of Technology,23-35645 - Benjamin Franklin Institute of Technology,23-35645,delete,delete
Massachusetts Development Finance Agency,23-35233 - Massachusetts Development Finance Agency,22-35233,delete,delete
"The Massachusetts LGBT Business Network, Inc.","22-35227 - The Massachusetts LGBT Business Network, Inc.",22-35227,delete,delete