Request Number,Docket Record Name,Organization Name,Grant Amount,grant_amount_number,Amount (Fund-Coding),program_areas,strategies,Grant Purpose,Award Date,Fund Name,Award Year,Department
19-08198--2,"19-08198--2 - Neighbor to Neighbor Massachusetts Education Fund, Inc.","Neighbor to Neighbor Massachusetts Education Fund, Inc.","$190,000.00","190,000.00","$65,000.00",Climate,Climate Resilience,To develop a Clean Energy Transition Plan for Holyoke that centers community leadership,12/3/2019,Grants,2019,Climate
19-08295,"19-08295 - YouthBuild USA, Inc.","YouthBuild USA, Inc.","$150,000.00","150,000.00","$100,000.00",Climate,Clean Energy,"To support youth grassroots efforts on climate, clean energy, and transit in Massachusetts",1/29/2020,Grants,2020,Climate
19-08295--2,"19-08295--2 - YouthBuild USA, Inc.","YouthBuild USA, Inc.","$150,000.00","150,000.00","$50,000.00",Climate,Mobility,"To support youth grassroots efforts on climate, clean energy, and transit in Massachusetts",1/29/2020,Grants,2020,Climate
19-08401,19-08401 - Innovation Network for Communities,Innovation Network for Communities,"$900,000.00","900,000.00","$450,000.00",Climate,Clean Energy,To support core operations of the Green Ribbon Commission and its working groups,3/25/2020,Grants,2020,Climate
19-08401--2,19-08401--2 - Innovation Network for Communities,Innovation Network for Communities,"$900,000.00","900,000.00","$450,000.00",Climate,Climate Resilience,To support core operations of the Green Ribbon Commission and its working groups,3/25/2020,Grants,2020,Climate
19-08434,"19-08434 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$1,250,000.00","1,250,000.00","$300,000.00",Climate,Climate Resilience,to provide core support,3/25/2020,Grants,2020,Climate
19-08434--2,"19-08434--2 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$1,250,000.00","1,250,000.00","$60,000.00",Climate,Mobility,to provide core support,3/25/2020,Grants,2020,Climate
19-08434--3,"19-08434--3 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$1,250,000.00","1,250,000.00","$890,000.00",Special Initiatives,Waterfront Initiative,to provide core support,3/25/2020,Grants,2020,Waterfront
19-08473,19-08473 - Next Generation Learning Challenges,Next Generation Learning Challenges,"$1,900,000.00","1,900,000.00","$1,000,000.00",Education,Catalyze New Models,to support New England learning excursions to exemplary school models,3/26/2020,Grants,2020,Education
19-08473--2,19-08473--2 - Next Generation Learning Challenges,Next Generation Learning Challenges,"$1,900,000.00","1,900,000.00","$300,000.00",Education,Invest in Educators,to support New England learning excursions to exemplary school models,3/26/2020,Grants,2020,Education
19-08473--3,19-08473--3 - Next Generation Learning Challenges,Next Generation Learning Challenges,"$1,900,000.00","1,900,000.00","$600,000.00",Education,Build Public Will,to support New England learning excursions to exemplary school models,3/26/2020,Grants,2020,Education
20-08490,"20-08490 - The Years Project, Inc.","The Years Project, Inc.","$450,000.00","450,000.00","$225,000.00",Climate,Clean Energy,To provide general support for Years of Living Dangerously,6/30/2020,Grants,2020,Climate
20-08490--2,"20-08490--2 - The Years Project, Inc.","The Years Project, Inc.","$450,000.00","450,000.00","$225,000.00",Climate,Climate Resilience,To provide general support for Years of Living Dangerously,6/30/2020,Grants,2020,Climate
20-08529,"20-08529 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$470,000.00","470,000.00","$420,000.00",Climate,Mobility,To support polling and focus groups for mobility and climate,3/31/2020,Grants,2020,Climate
20-08529--2,"20-08529--2 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$470,000.00","470,000.00","$50,000.00",Climate,Clean Energy,To support polling and focus groups for mobility and climate,3/31/2020,Grants,2020,Climate
20-08675,20-08675 - New World Foundation,New World Foundation,"$170,000.00","170,000.00","$127,500.00",Climate,Clean Energy,To support stabilizing environmental justice and equity-focused organizations impacted by COVID-19,4/30/2020,Grants,2020,Climate
20-08675--2,20-08675--2 - New World Foundation,New World Foundation,"$170,000.00","170,000.00","$21,250.00",Climate,Climate Resilience,To support stabilizing environmental justice and equity-focused organizations impacted by COVID-19,4/30/2020,Grants,2020,Climate
20-08675--3,20-08675--3 - New World Foundation,New World Foundation,"$170,000.00","170,000.00","$21,250.00",Climate,Mobility,To support stabilizing environmental justice and equity-focused organizations impacted by COVID-19,4/30/2020,Grants,2020,Climate
20-08778,"20-08778 - Boston Foundation, Inc.","Boston Foundation, Inc.","$50,000.00","50,000.00","$10,000.00",Climate,,to support mobility and other related research for the COVID Community Data Lab,6/30/2020,Grants,2020,Climate
20-08778--2,"20-08778--2 - Boston Foundation, Inc.","Boston Foundation, Inc.","$50,000.00","50,000.00","$40,000.00",Climate,Mobility,to support mobility and other related research for the COVID Community Data Lab,6/30/2020,Grants,2020,Climate
20-08799,20-08799 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$350,000.00","350,000.00","$210,000.00",Climate,Climate Resilience,to jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,6/30/2020,Grants,2020,Climate
20-08799--2,20-08799--2 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$350,000.00","350,000.00","$140,000.00",Climate,Clean Energy,to jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,6/30/2020,Grants,2020,Climate
20-08802,"20-08802 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$350,000.00","350,000.00","$140,000.00",Climate,Clean Energy,to jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,6/30/2020,Grants,2020,Climate
20-08802--2,"20-08802--2 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$350,000.00","350,000.00","$210,000.00",Climate,Climate Resilience,to jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,6/30/2020,Grants,2020,Climate
20-08914,20-08914 - University of Washington Foundation,University of Washington Foundation,"$740,000.00","740,000.00","$390,000.00",Education,Catalyze New Models,To support the University of Washington's CRPE project to conduct and coordinate research on the impact of COVID-19 on New England public high schools,9/29/2020,Grants,2020,Education
20-08914--2,20-08914--2 - University of Washington Foundation,University of Washington Foundation,"$740,000.00","740,000.00","$250,000.00",Education,Invest in Educators,To support the University of Washington's CRPE project to conduct and coordinate research on the impact of COVID-19 on New England public high schools,9/29/2020,Grants,2020,Education
20-08914--3,20-08914--3 - University of Washington Foundation,University of Washington Foundation,"$740,000.00","740,000.00","$100,000.00",Education,Build Public Will,To support the University of Washington's CRPE project to conduct and coordinate research on the impact of COVID-19 on New England public high schools,9/29/2020,Grants,2020,Education
20-09024,"20-09024 - TransitMatters, Inc.","TransitMatters, Inc.","$600,000.00","600,000.00","$50,000.00",Climate,,To provide support for its TransitMatters program,3/31/2021,Grants,2021,Climate
20-09024--2,"20-09024--2 - TransitMatters, Inc.","TransitMatters, Inc.","$600,000.00","600,000.00","$550,000.00",Climate,Mobility,To provide support for its TransitMatters program,3/31/2021,Grants,2021,Climate
20-09030,20-09030 - Sierra Club Foundation,Sierra Club Foundation,"$160,000.00","160,000.00","$10,000.00",Climate,,To support grass roots efforts to advance equitable clean energy policies in Massachusetts,1/27/2021,Grants,2021,Climate
20-09030--2,20-09030--2 - Sierra Club Foundation,Sierra Club Foundation,"$160,000.00","160,000.00","$150,000.00",Climate,Clean Energy,To support grass roots efforts to advance equitable clean energy policies in Massachusetts,1/27/2021,Grants,2021,Climate
20-09033,"20-09033 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$300,000.00","300,000.00","$90,000.00",Climate,Climate Resilience,To support equitable deployment of energy storage in New England,2/24/2021,Grants,2021,Climate
20-09033--2,"20-09033--2 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$300,000.00","300,000.00","$210,000.00",Climate,Clean Energy,To support equitable deployment of energy storage in New England,2/24/2021,Grants,2021,Climate
20-09040,"20-09040 - NECEC Institute, Inc.","NECEC Institute, Inc.","$270,000.00","270,000.00","$250,000.00",Climate,Clean Energy,To expand clean energy in New England by informing policy and regulatory development,3/31/2021,Grants,2021,Climate
20-09040--2,"20-09040--2 - NECEC Institute, Inc.","NECEC Institute, Inc.","$270,000.00","270,000.00","$20,000.00",Climate,,To expand clean energy in New England by informing policy and regulatory development,3/31/2021,Grants,2021,Climate
20-09111,"20-09111 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$400,000.00","400,000.00","$200,000.00",Climate,Clean Energy,To support COVID-safe strategies for protecting communities from extreme weather,2/24/2021,Grants,2021,Climate
20-09111--2,"20-09111--2 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$400,000.00","400,000.00","$200,000.00",Climate,Climate Resilience,To support COVID-safe strategies for protecting communities from extreme weather,2/24/2021,Grants,2021,Climate
21-09201,21-09201 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$400,000.00","400,000.00","$200,000.00",Climate,Clean Energy,To support COVID-safe strategies for protecting communities from extreme weather,2/24/2021,Grants,2021,Climate
21-09201--2,21-09201--2 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$400,000.00","400,000.00","$200,000.00",Climate,Climate Resilience,To support COVID-safe strategies for protecting communities from extreme weather,2/24/2021,Grants,2021,Climate
21-09217,21-09217 - Design Studio for Social Intervention,Design Studio for Social Intervention,"$270,000.00","270,000.00","$135,000.00",Arts & Creativity,Spanning Sectors,To provide strategic planning and core support for its Design Studio for Social Intervention program,6/30/2021,Grants,2021,Arts
21-09217--2,21-09217--2 - Design Studio for Social Intervention,Design Studio for Social Intervention,"$270,000.00","270,000.00","$135,000.00",Climate,Mobility,To provide strategic planning and core support for its Design Studio for Social Intervention program,6/30/2021,Grants,2021,Climate
21-09234,"21-09234 - Livable Streets Transportation Alliance of Boston, Inc.","Livable Streets Transportation Alliance of Boston, Inc.","$900,000.00","900,000.00","$630,000.00",Climate,Mobility,To provide general operating support,5/19/2021,Grants,2021,Climate
21-09234--2,"21-09234--2 - Livable Streets Transportation Alliance of Boston, Inc.","Livable Streets Transportation Alliance of Boston, Inc.","$900,000.00","900,000.00","$270,000.00",Climate,Mobility,To provide general operating support,5/19/2021,Grants,2021,Climate
21-09235,"21-09235 - Community Labor United, Inc.","Community Labor United, Inc.","$550,000.00","550,000.00","$50,000.00",Climate,,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09235--2,"21-09235--2 - Community Labor United, Inc.","Community Labor United, Inc.","$550,000.00","550,000.00","$750,000.00",Climate,Mobility,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09276,21-09276 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$60,000.00","60,000.00","$40,000.00",Climate,Mobility,To support the Allston Brighton Health Collaborative's transportation advocacy and community engagement,5/19/2021,Grants,2021,Climate
21-09276--2,21-09276--2 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$60,000.00","60,000.00","$10,000.00",Climate,Mobility,To support the Allston Brighton Health Collaborative's transportation advocacy and community engagement,5/19/2021,Grants,2021,Climate
21-09276--3,21-09276--3 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$60,000.00","60,000.00","$10,000.00",Climate,,To support the Allston Brighton Health Collaborative's transportation advocacy and community engagement,5/19/2021,Grants,2021,Climate
21-09284,21-09284 - Innovation Network for Communities,Innovation Network for Communities,"$100,000.00","100,000.00","$80,000.00",Climate,Climate Resilience,To create a climate justice plan for the Green Ribbon Commission,4/27/2021,Grants,2021,Climate
21-09284--2,21-09284--2 - Innovation Network for Communities,Innovation Network for Communities,"$100,000.00","100,000.00","$20,000.00",Climate,,To create a climate justice plan for the Green Ribbon Commission,4/27/2021,Grants,2021,Climate
21-09322,"21-09322 - Neighbor to Neighbor Massachusetts Education Fund, Inc.","Neighbor to Neighbor Massachusetts Education Fund, Inc.","$700,000.00","700,000.00","$325,000.00",Climate,Clean Energy,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09322--2,"21-09322--2 - Neighbor to Neighbor Massachusetts Education Fund, Inc.","Neighbor to Neighbor Massachusetts Education Fund, Inc.","$700,000.00","700,000.00","$250,000.00",Climate,Mobility,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09322--3,"21-09322--3 - Neighbor to Neighbor Massachusetts Education Fund, Inc.","Neighbor to Neighbor Massachusetts Education Fund, Inc.","$700,000.00","700,000.00","$125,000.00",Climate,Climate Resilience,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09327,"21-09327 - Enterprise Community Partners, Inc.","Enterprise Community Partners, Inc.","$310,000.00","310,000.00","$50,000.00",Climate,Climate Resilience,To support the Rose Fellowship Program and Spatial Justice Exhibit,7/28/2021,Grants,2021,Climate
21-09327--2,"21-09327--2 - Enterprise Community Partners, Inc.","Enterprise Community Partners, Inc.","$310,000.00","310,000.00","$240,000.00",Climate,Mobility,To support the Rose Fellowship Program and Spatial Justice Exhibit,7/28/2021,Grants,2021,Climate
21-09327--3,"21-09327--3 - Enterprise Community Partners, Inc.","Enterprise Community Partners, Inc.","$310,000.00","310,000.00","$20,000.00",Climate,,To support the Rose Fellowship Program and Spatial Justice Exhibit,7/28/2021,Grants,2021,Climate
21-09342,"21-09342 - Conservation Law Foundation, Inc.","Conservation Law Foundation, Inc.","$2,650,000.00","2,650,000.00","$250,000.00",Climate,Climate Resilience,To provide general operating support,9/15/2021,Grants,2021,Climate
21-09342--2,"21-09342--2 - Conservation Law Foundation, Inc.","Conservation Law Foundation, Inc.","$2,650,000.00","2,650,000.00","$1,200,000.00",Climate,Clean Energy,To provide general operating support,9/15/2021,Grants,2021,Climate
21-09342--3,"21-09342--3 - Conservation Law Foundation, Inc.","Conservation Law Foundation, Inc.","$2,650,000.00","2,650,000.00","$1,200,000.00",Climate,Mobility,To provide general operating support,9/15/2021,Grants,2021,Climate
21-09343,"21-09343 - Alliance for Business Leadership, Inc.","Alliance for Business Leadership, Inc.","$500,000.00","500,000.00","$52,000.00",Climate,Mobility,To provide general operating support,11/30/2021,Grants,2021,Climate
21-09343--2,"21-09343--2 - Alliance for Business Leadership, Inc.","Alliance for Business Leadership, Inc.","$500,000.00","500,000.00","$292,000.00",Climate,Clean Energy,To provide general operating support,11/30/2021,Grants,2021,Climate
21-09343--3,"21-09343--3 - Alliance for Business Leadership, Inc.","Alliance for Business Leadership, Inc.","$500,000.00","500,000.00","$156,000.00",Climate,Mobility,To provide general operating support,11/30/2021,Grants,2021,Climate
21-09344,21-09344 - Health Care Without Harm,Health Care Without Harm,"$900,000.00","900,000.00","$360,000.00",Climate,Climate Resilience,To support Massachusetts health care sector leadership on climate action,11/30/2021,Grants,2021,Climate
21-09344--2,21-09344--2 - Health Care Without Harm,Health Care Without Harm,"$900,000.00","900,000.00","$540,000.00",Climate,Clean Energy,To support Massachusetts health care sector leadership on climate action,11/30/2021,Grants,2021,Climate
21-09350,"21-09350 - The Funders Network, Inc.","The Funders Network, Inc.","$65,000.00","65,000.00","$25,000.00",Climate,Mobility,To support the Mobility and Access Collaborative and TFN?Äôs racial equity action plan,7/27/2021,Grants,2021,Climate
21-09350--2,"21-09350--2 - The Funders Network, Inc.","The Funders Network, Inc.","$65,000.00","65,000.00","$40,000.00",Climate,,To support the Mobility and Access Collaborative and TFN?Äôs racial equity action plan,7/27/2021,Grants,2021,Climate
21-09351,"21-09351 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$750,000.00","750,000.00","$350,000.00",Climate,Mobility,"To support equitable, low-carbon Gateway City hubs",9/29/2021,Grants,2021,Climate
21-09351--2,"21-09351--2 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$750,000.00","750,000.00","$400,000.00",Climate,Mobility,"To support equitable, low-carbon Gateway City hubs",9/29/2021,Grants,2021,Climate
21-09360,"21-09360 - Chinatown People Progressive Association, Inc. d/b/a Chinese Progress","Chinatown People Progressive Association, Inc. d/b/a Chinese Progress","$200,000.00","200,000.00","$50,000.00",Climate,,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09360--2,"21-09360--2 - Chinatown People Progressive Association, Inc. d/b/a Chinese Progress","Chinatown People Progressive Association, Inc. d/b/a Chinese Progress","$200,000.00","200,000.00","$150,000.00",Climate,Mobility,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09361,21-09361 - Coalition for Social Justice-Education Fund Inc.,Coalition for Social Justice-Education Fund Inc.,"$200,000.00","200,000.00","$50,000.00",Climate,,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09361--2,21-09361--2 - Coalition for Social Justice-Education Fund Inc.,Coalition for Social Justice-Education Fund Inc.,"$200,000.00","200,000.00","$150,000.00",Climate,Mobility,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09362,"21-09362 - GreenRoots, Inc.","GreenRoots, Inc.","$500,000.00","500,000.00","$125,000.00",Climate,Climate Resilience,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09362--2,"21-09362--2 - GreenRoots, Inc.","GreenRoots, Inc.","$500,000.00","500,000.00","$250,000.00",Climate,Mobility,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09362--3,"21-09362--3 - GreenRoots, Inc.","GreenRoots, Inc.","$500,000.00","500,000.00","$125,000.00",Climate,Clean Energy,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09363,"21-09363 - Massachusetts Senior Action Council, Inc.","Massachusetts Senior Action Council, Inc.","$200,000.00","200,000.00","$150,000.00",Climate,Mobility,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09363--2,"21-09363--2 - Massachusetts Senior Action Council, Inc.","Massachusetts Senior Action Council, Inc.","$200,000.00","200,000.00","$50,000.00",Climate,,To provide general operating support,6/30/2021,Grants,2021,Climate
21-09371,"21-09371 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$950,000.00","950,000.00","$636,500.00",Climate,Climate Resilience,"To support climate resilience, greenways, and waterfront activities",6/30/2021,Grants,2021,Climate
21-09371--2,"21-09371--2 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$950,000.00","950,000.00","$313,500.00",Special Initiatives,Waterfront Initiative,"To support climate resilience, greenways, and waterfront activities",6/30/2021,Grants,2021,Waterfront
21-09530,"21-09530 - Franklin W. Olin College of Engineering, Inc.","Franklin W. Olin College of Engineering, Inc.","$715,000.00","715,000.00","$115,000.00",Climate,,To support community-driven air pollution reduction in Roxbury,7/28/2021,Grants,2021,Climate
21-09530--2,"21-09530--2 - Franklin W. Olin College of Engineering, Inc.","Franklin W. Olin College of Engineering, Inc.","$715,000.00","715,000.00","$500,000.00",Climate,Mobility,To support community-driven air pollution reduction in Roxbury,7/28/2021,Grants,2021,Climate
21-09530--3,"21-09530--3 - Franklin W. Olin College of Engineering, Inc.","Franklin W. Olin College of Engineering, Inc.","$715,000.00","715,000.00","$100,000.00",Climate,Clean Energy,To support community-driven air pollution reduction in Roxbury,7/28/2021,Grants,2021,Climate
21-09541,"21-09541 - Boston Foundation, Inc.","Boston Foundation, Inc.","$50,000.00","50,000.00","$10,000.00",Climate,,To support mobility and other related research for the COVID Community Data Lab,7/27/2021,Grants,2021,Climate
21-09541--2,"21-09541--2 - Boston Foundation, Inc.","Boston Foundation, Inc.","$50,000.00","50,000.00","$40,000.00",Climate,Mobility,To support mobility and other related research for the COVID Community Data Lab,7/27/2021,Grants,2021,Climate
21-09706,21-09706 - New World Foundation,New World Foundation,"$450,000.00","450,000.00","$404,000.00",Climate,,To support equitable climate and clean energy grassroots efforts in Massachusetts,11/30/2021,Grants,2021,Climate
21-09706--2,21-09706--2 - New World Foundation,New World Foundation,"$450,000.00","450,000.00","$46,000.00",Climate,Clean Energy,To support equitable climate and clean energy grassroots efforts in Massachusetts,11/30/2021,Grants,2021,Climate
21-09773,"21-09773 - Alternatives for Community and Environment, Inc.","Alternatives for Community and Environment, Inc.","$1,800,000.00","1,800,000.00","$600,000.00",Climate,Clean Energy,To provide general operating support,3/9/2022,Grants,2022,Climate
21-09773--2,"21-09773--2 - Alternatives for Community and Environment, Inc.","Alternatives for Community and Environment, Inc.","$1,800,000.00","1,800,000.00","$1,000,000.00",Climate,Mobility,To provide general operating support,3/9/2022,Grants,2022,Climate
21-09773--3,"21-09773--3 - Alternatives for Community and Environment, Inc.","Alternatives for Community and Environment, Inc.","$1,800,000.00","1,800,000.00","$200,000.00",Climate,,To provide general operating support,3/9/2022,Grants,2022,Climate
21-09775,21-09775 - Streetsblog MASS,Streetsblog MASS,"$180,000.00","180,000.00","$120,000.00",Climate,Mobility,To support Streetsblog MASS,2/1/2022,Grants,2022,Climate
21-09775--2,21-09775--2 - Streetsblog MASS,Streetsblog MASS,"$180,000.00","180,000.00","$60,000.00",Climate,Mobility,To support Streetsblog MASS,2/1/2022,Grants,2022,Climate
21-09776,"21-09776 - Better Future Project, Inc.","Better Future Project, Inc.","$360,000.00","360,000.00","$240,000.00",Climate,Clean Energy,To provide program support to build grassroots leadership to advance clean energy and climate resilience,1/4/2022,Grants,2022,Climate
21-09776--2,"21-09776--2 - Better Future Project, Inc.","Better Future Project, Inc.","$360,000.00","360,000.00","$120,000.00",Climate,Climate Resilience,To provide program support to build grassroots leadership to advance clean energy and climate resilience,1/4/2022,Grants,2022,Climate
21-09778,21-09778 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$3,000,000.00","3,000,000.00","$900,000.00",Climate,Clean Energy,"To support mobility, clean energy, and climate resiliency planning",3/9/2022,Grants,2022,Climate
21-09778--2,21-09778--2 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$3,000,000.00","3,000,000.00","$1,500,000.00",Climate,Mobility,"To support mobility, clean energy, and climate resiliency planning",3/9/2022,Grants,2022,Climate
21-09778--3,21-09778--3 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$3,000,000.00","3,000,000.00","$600,000.00",Climate,Climate Resilience,"To support mobility, clean energy, and climate resiliency planning",3/9/2022,Grants,2022,Climate
