Request Number,Docket Record Name,Organization Name,Grant Amount,grant_amount_number,Amount (Fund-Coding),program_areas,strategies,Grant Purpose,Award Date,Fund Name,Award Year,Department
21-09781,"21-09781 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$625,000.00","625,000.00","$312,500.00",Climate,Clean Energy,To jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID impacted communities of Greater Boston,2/1/2022,Grants,2022,Climate
21-09781--2,"21-09781--2 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$625,000.00","625,000.00","$312,500.00",Climate,Climate Resilience,To jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID impacted communities of Greater Boston,2/1/2022,Grants,2022,Climate
21-09782,21-09782 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$415,000.00","415,000.00","$207,500.00",Climate,Climate Resilience,To jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,2/1/2022,Grants,2022,Climate
21-09782--2,21-09782--2 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$415,000.00","415,000.00","$207,500.00",Climate,Clean Energy,To jointly manage an Extreme Heat Task Force to implement COVID-safe cooling strategies in the most COVID-impacted communities of Greater Boston,2/1/2022,Grants,2022,Climate
21-09792,21-09792 - Innovation Network for Communities,Innovation Network for Communities,"$1,350,000.00","1,350,000.00","$675,000.00",Climate,Climate Resilience,To support core operations of the Green Ribbon Commission and its working groups,6/15/2022,Grants,2022,Climate
21-09792--2,21-09792--2 - Innovation Network for Communities,Innovation Network for Communities,"$1,350,000.00","1,350,000.00","$675,000.00",Climate,Clean Energy,To support core operations of the Green Ribbon Commission and its working groups,6/15/2022,Grants,2022,Climate
21-09925,"21-09925 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$1,160,000.00","1,160,000.00","$60,000.00",Climate,Mobility,To provide general operating support,3/9/2022,Grants,2022,Climate
21-09925--2,"21-09925--2 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$1,160,000.00","1,160,000.00","$300,000.00",Climate,Climate Resilience,To provide general operating support,3/9/2022,Grants,2022,Climate
21-09925--3,"21-09925--3 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$1,160,000.00","1,160,000.00","$800,000.00",Special Initiatives,Waterfront Initiative,To provide general operating support,3/9/2022,Grants,2022,Waterfront
21-36073,"21-36073 - Community Labor United, Inc.","Community Labor United, Inc.","$250,000.00","250,000.00","$234,375.00",Climate,Mobility,To provide core support to Community Labor United,6/30/2021,Grants,2021,Climate
21-36073--2,"21-36073--2 - Community Labor United, Inc.","Community Labor United, Inc.","$250,000.00","250,000.00","$15,625.00",Climate,,To provide core support to Community Labor United,6/30/2021,Grants,2021,Climate
22-34673,"22-34673 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$360,000.00","360,000.00","$160,000.00",Climate,Clean Energy,To support informing mobility and clean energy policy efforts,5/2/2022,Grants,2022,Climate
22-34673--2,"22-34673--2 - A Better City Initiative, Inc.","A Better City Initiative, Inc.","$360,000.00","360,000.00","$200,000.00",Climate,Mobility,To support informing mobility and clean energy policy efforts,5/2/2022,Grants,2022,Climate
22-34689,22-34689 - City of Boston,City of Boston,"$870,000.00","870,000.00","$150,000.00",Climate,Clean Energy,To support implementation of Climate Ready Boston initiatives,11/29/2022,Grants,2022,Climate
22-34689--2,22-34689--2 - City of Boston,City of Boston,"$870,000.00","870,000.00","$720,000.00",Climate,Climate Resilience,To support implementation of Climate Ready Boston initiatives,11/29/2022,Grants,2022,Climate
22-34888,"22-34888 - Third Sector New England, Inc.","Third Sector New England, Inc.","$1,750,000.00","1,750,000.00","$500,000.00",Arts & Creativity,Spanning Sectors,To support core operations and implementation of strategic growth plan for Design Studio for Social Intervention,12/7/2022,Grants,2022,Arts
22-34888--2,"22-34888--2 - Third Sector New England, Inc.","Third Sector New England, Inc.","$1,750,000.00","1,750,000.00","$1,250,000.00",Climate,Mobility,To support core operations and implementation of strategic growth plan for Design Studio for Social Intervention,12/7/2022,Grants,2022,Climate
22-34908,"22-34908 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$600,000.00","600,000.00","$450,000.00",Climate,Mobility,To support polling and focus groups on transportation and climate,6/27/2022,Grants,2022,Climate
22-34908--2,"22-34908--2 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$600,000.00","600,000.00","$150,000.00",Climate,,To support polling and focus groups on transportation and climate,6/27/2022,Grants,2022,Climate
22-34933,"22-34933 - Massachusetts Senior Action Council, Inc.","Massachusetts Senior Action Council, Inc.","$225,000.00","225,000.00","$150,000.00",Climate,,To support organizational capacity building,6/27/2022,Grants,2022,Climate
22-34933--2,"22-34933--2 - Massachusetts Senior Action Council, Inc.","Massachusetts Senior Action Council, Inc.","$225,000.00","225,000.00","$75,000.00",Climate,Mobility,To support organizational capacity building,6/27/2022,Grants,2022,Climate
22-34934,22-34934 - Coalition for Social Justice-Education Fund Inc.,Coalition for Social Justice-Education Fund Inc.,"$170,000.00","170,000.00","$100,000.00",Climate,,To support a Grassroots Coordinator to work on transit-initiatives in the South Shore,6/27/2022,Grants,2022,Climate
22-34934--2,22-34934--2 - Coalition for Social Justice-Education Fund Inc.,Coalition for Social Justice-Education Fund Inc.,"$170,000.00","170,000.00","$70,000.00",Climate,Mobility,To support a Grassroots Coordinator to work on transit-initiatives in the South Shore,6/27/2022,Grants,2022,Climate
22-34976,22-34976 - Trustees of Boston University,Trustees of Boston University,"$600,000.00","600,000.00","$540,000.00",Climate,Climate Resilience,To support research on extreme heat impacts and interventions in Chelsea and East Boston,8/29/2022,Grants,2022,Climate
22-34976--2,22-34976--2 - Trustees of Boston University,Trustees of Boston University,"$600,000.00","600,000.00","$60,000.00",Climate,,To support research on extreme heat impacts and interventions in Chelsea and East Boston,8/29/2022,Grants,2022,Climate
22-35052,"22-35052 - GreenRoots, Inc.","GreenRoots, Inc.","$340,000.00","340,000.00","$27,500.00",Climate,Climate Resilience,To support organizational capacity building,8/29/2022,Grants,2022,Climate
22-35052--2,"22-35052--2 - GreenRoots, Inc.","GreenRoots, Inc.","$340,000.00","340,000.00","$27,500.00",Climate,Clean Energy,To support organizational capacity building,8/29/2022,Grants,2022,Climate
22-35052--3,"22-35052--3 - GreenRoots, Inc.","GreenRoots, Inc.","$340,000.00","340,000.00","$285,000.00",Climate,Mobility,To support organizational capacity building,8/29/2022,Grants,2022,Climate
22-35053,22-35053 - New England United for Justice,New England United for Justice,"$260,000.00","260,000.00","$130,000.00",Climate,Mobility,To support New England United 4 Justice?s climate and mobility activities,8/29/2022,Grants,2022,Climate
22-35053--2,22-35053--2 - New England United for Justice,New England United for Justice,"$260,000.00","260,000.00","$130,000.00",Climate,Mobility,To support New England United 4 Justice?s climate and mobility activities,8/29/2022,Grants,2022,Climate
22-35071,22-35071 - The Trust for Public Land,The Trust for Public Land,"$500,000.00","500,000.00","$475,000.00",Climate,Climate Resilience,"to support education, engagement, and training to expand green infrastructure solutions in Metro Boston",9/28/2022,Grants,2022,Climate
22-35071--2,22-35071--2 - The Trust for Public Land,The Trust for Public Land,"$500,000.00","500,000.00","$25,000.00",Climate,Mobility,"to support education, engagement, and training to expand green infrastructure solutions in Metro Boston",9/28/2022,Grants,2022,Climate
22-35082,22-35082 - Local Initiatives Support Corporation,Local Initiatives Support Corporation,"$200,000.00","200,000.00","$100,000.00",Climate,,To support the DASH coalition?s efforts to strengthen climate-focused affordable housing policies and programs,9/27/2022,Grants,2022,Climate
22-35082--2,22-35082--2 - Local Initiatives Support Corporation,Local Initiatives Support Corporation,"$200,000.00","200,000.00","$100,000.00",Climate,Clean Energy,To support the DASH coalition?s efforts to strengthen climate-focused affordable housing policies and programs,9/27/2022,Grants,2022,Climate
22-35092,22-35092 - Massachusetts Climate Action Network,Massachusetts Climate Action Network,"$65,000.00","65,000.00","$30,000.00",Climate,,To support MCAN?s leadership transition and equity-centered strategic plan,9/27/2022,Grants,2022,Climate
22-35092--2,22-35092--2 - Massachusetts Climate Action Network,Massachusetts Climate Action Network,"$65,000.00","65,000.00","$35,000.00",Arts & Creativity,,To support MCAN?s leadership transition and equity-centered strategic plan,9/27/2022,Grants,2022,OrgDev
22-35101,"22-35101 - Chinatown People Progressive Association, Inc. d/b/a Chinese Proge...","Chinatown People Progressive Association, Inc. d/b/a Chinese Proge...","$200,000.00","200,000.00","$100,000.00",Climate,,To support organizational capacity building for climate organizing,9/28/2022,Grants,2022,Climate
22-35101--2,"22-35101--2 - Chinatown People Progressive Association, Inc. d/b/a Chinese Proge...","Chinatown People Progressive Association, Inc. d/b/a Chinese Proge...","$200,000.00","200,000.00","$100,000.00",Climate,Mobility,To support organizational capacity building for climate organizing,9/28/2022,Grants,2022,Climate
22-35109,"22-35109 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","275,000.00","$50,000.00",Climate,,"To support Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
22-35109--2,"22-35109--2 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","275,000.00","$150,000.00",Climate,Clean Energy,"To support Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
22-35109--3,"22-35109--3 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","275,000.00","$75,000.00",Climate,Climate Resilience,"To support Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
22-35286,"22-35286 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$400,000.00","400,000.00","$310,000.00",Climate,Clean Energy,to support equitable deployment of energy storage and fossil peaker plant decomissioning in New England,2/28/2023,Grants,2023,Climate
22-35286--2,"22-35286--2 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$400,000.00","400,000.00","$90,000.00",Climate,Climate Resilience,to support equitable deployment of energy storage and fossil peaker plant decomissioning in New England,2/28/2023,Grants,2023,Climate
22-36067,"22-36067 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","275,000.00","$150,000.00",Climate,Clean Energy,"To provide core support for Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
22-36067--2,"22-36067--2 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","275,000.00","$75,000.00",Climate,Climate Resilience,"To provide core support for Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
22-36067--3,"22-36067--3 - Community Labor United, Inc.","Community Labor United, Inc.","$275,000.00","275,000.00","$50,000.00",Climate,,"To provide core support for Community Labor United's work on climate resilience, clean energy, and economic inclusion in Massachusetts",11/1/2022,Grants,2022,Climate
23-35460,23-35460 - Boston Climate Action Network,Boston Climate Action Network,"$100,000.00","100,000.00","$60,000.00",Climate,Clean Energy,To support research on experiences with Mass Save and capacity building within Boston-based community organizations,7/21/2023,Grants,2023,Climate
23-35460--2,23-35460--2 - Boston Climate Action Network,Boston Climate Action Network,"$100,000.00","100,000.00","$40,000.00",Climate,Climate Resilience,To support research on experiences with Mass Save and capacity building within Boston-based community organizations,7/21/2023,Grants,2023,Climate
23-35480,"23-35480 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$2,250,000.00","2,250,000.00","$1,950,000.00",Climate,Climate Resilience,"To support projects and efforts to develop climate resilience, greenways, and waterfront access",6/13/2023,Grants,2023,Climate
23-35480--2,"23-35480--2 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$2,250,000.00","2,250,000.00","$300,000.00",Special Initiatives,Waterfront Initiative,"To support projects and efforts to develop climate resilience, greenways, and waterfront access",6/13/2023,Grants,2023,Waterfront
23-35485,"23-35485 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$400,000.00","400,000.00","$200,000.00",Climate,Clean Energy,to jointly manage an Extreme Heat Task Force to implement cooling strategies in the most COVID impacted communities of Greater Boston,5/2/2023,Grants,2023,Climate
23-35485--2,"23-35485--2 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$400,000.00","400,000.00","$200,000.00",Climate,Climate Resilience,to jointly manage an Extreme Heat Task Force to implement cooling strategies in the most COVID impacted communities of Greater Boston,5/2/2023,Grants,2023,Climate
23-35517,23-35517 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$260,000.00","260,000.00","$130,000.00",Climate,Mobility,to support organizing and advocacy for mobility and climate resilience in Allston and Brighton,6/7/2023,Grants,2023,Climate
23-35517--2,23-35517--2 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$260,000.00","260,000.00","$55,000.00",Climate,Mobility,to support organizing and advocacy for mobility and climate resilience in Allston and Brighton,6/7/2023,Grants,2023,Climate
23-35517--3,23-35517--3 - Allston Brighton Health Collaborative,Allston Brighton Health Collaborative,"$260,000.00","260,000.00","$75,000.00",Climate,Climate Resilience,to support organizing and advocacy for mobility and climate resilience in Allston and Brighton,6/7/2023,Grants,2023,Climate
23-35597,"23-35597 - The Latina Circle, Inc. dba Amplify Latinx","The Latina Circle, Inc. dba Amplify Latinx","$375,000.00","375,000.00","$75,000.00",Special Initiatives,Racial Wealth Equity Initiative,"To provide continued program, capacity building, and one-time organizational development support",8/30/2023,Grants,2023,Racial Wealth Equity
23-35597--2,"23-35597--2 - The Latina Circle, Inc. dba Amplify Latinx","The Latina Circle, Inc. dba Amplify Latinx","$375,000.00","375,000.00","$300,000.00",Sector Effectiveness,Leadership,"To provide continued program, capacity building, and one-time organizational development support",8/30/2023,Grants,2023,SectorEffect
23-35617,23-35617 - Our Climate Education Fund,Our Climate Education Fund,"$120,000.00","120,000.00","$60,000.00",Climate,,to support youth leadership and development in the climate movement in Massachusetts,8/30/2023,Grants,2023,Climate
23-35617--2,23-35617--2 - Our Climate Education Fund,Our Climate Education Fund,"$120,000.00","120,000.00","$60,000.00",Climate,Clean Energy,to support youth leadership and development in the climate movement in Massachusetts,8/30/2023,Grants,2023,Climate
23-35691,23-35691 - New England United for Justice,New England United for Justice,"$1,350,000.00","1,350,000.00","$675,000.00",Climate,Mobility,to support New England United for Justice?s mobility and climate work,9/13/2023,Grants,2023,Climate
23-35691--2,23-35691--2 - New England United for Justice,New England United for Justice,"$1,350,000.00","1,350,000.00","$675,000.00",Climate,Mobility,to support New England United for Justice?s mobility and climate work,9/13/2023,Grants,2023,Climate
23-35700,"23-35700 - Arise, Inc.","Arise, Inc.","$900,000.00","900,000.00","$500,000.00",Climate,Climate Resilience,to provide general operating support,8/30/2023,Grants,2023,Climate
23-35700--2,"23-35700--2 - Arise, Inc.","Arise, Inc.","$900,000.00","900,000.00","$400,000.00",Climate,Mobility,to provide general operating support,8/30/2023,Grants,2023,Climate
23-35717,23-35717 - Climable,Climable,"$100,000.00","100,000.00","$50,000.00",Climate,Clean Energy,To provide technical assistance on microgrids and resilience hubs in Massachusetts and Rhode Island,10/31/2023,Grants,2023,Climate
23-35717--2,23-35717--2 - Climable,Climable,"$100,000.00","100,000.00","$50,000.00",Climate,Climate Resilience,To provide technical assistance on microgrids and resilience hubs in Massachusetts and Rhode Island,10/31/2023,Grants,2023,Climate
23-35735,23-35735 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$205,000.00","205,000.00","$102,500.00",Climate,Climate Resilience,To support the design of a revised COVID-safe cooling program,9/26/2023,Grants,2023,Climate
23-35735--2,23-35735--2 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$205,000.00","205,000.00","$102,500.00",Climate,Clean Energy,To support the design of a revised COVID-safe cooling program,9/26/2023,Grants,2023,Climate
23-35865,"23-35865 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$33,000.00","33,000.00","$30,000.00",Climate,Clean Energy,To support the equity in organizational decision-making peer learning group's engagement with the Interaction Institute for Social Change,11/28/2023,Grants,2023,Climate
23-35865--2,"23-35865--2 - Mystic River Watershed Association, Inc.","Mystic River Watershed Association, Inc.","$33,000.00","33,000.00","$3,000.00",Climate,,To support the equity in organizational decision-making peer learning group's engagement with the Interaction Institute for Social Change,11/28/2023,Grants,2023,Climate
23-35886,"23-35886 - Dudley Street Neighborhood Initiative, Inc.","Dudley Street Neighborhood Initiative, Inc.","$1,000,000.00","1,000,000.00","$250,000.00",Climate,Climate Resilience,To support the exploration of a Resilience Hub and other resiliency activities and to provide capacity building for its Greater Boston Community Land Trust Network program,11/29/2023,Grants,2023,Climate
23-35886--2,"23-35886--2 - Dudley Street Neighborhood Initiative, Inc.","Dudley Street Neighborhood Initiative, Inc.","$1,000,000.00","1,000,000.00","$750,000.00",Special Initiatives,Racial Wealth Equity Initiative,To support the exploration of a Resilience Hub and other resiliency activities and to provide capacity building for its Greater Boston Community Land Trust Network program,11/29/2023,Grants,2023,Racial Wealth Equity
23-35900,23-35900 - New World Foundation,New World Foundation,"$650,000.00","650,000.00","$450,000.00",Climate,Clean Energy,to support equitable climate and clean energy grassroots efforts in Massachusetts and Rhode Island,11/29/2023,Grants,2023,Climate
23-35900--2,23-35900--2 - New World Foundation,New World Foundation,"$650,000.00","650,000.00","$200,000.00",Climate,,to support equitable climate and clean energy grassroots efforts in Massachusetts and Rhode Island,11/29/2023,Grants,2023,Climate
23-35906,"23-35906 - Third Sector New England, Inc.","Third Sector New England, Inc.","$1,000,000.00","1,000,000.00","$600,000.00",Special Initiatives,Racial Wealth Equity Initiative,To provide project support for the TSNE Shared Services launch,11/29/2023,Grants,2023,Racial Wealth Equity
23-35906--2,"23-35906--2 - Third Sector New England, Inc.","Third Sector New England, Inc.","$1,000,000.00","1,000,000.00","$400,000.00",Sector Effectiveness,Infrastructure,To provide project support for the TSNE Shared Services launch,11/29/2023,Grants,2023,SectorEffect
23-35921,"23-35921 - Massachusetts Coalition for Occupational Safety and Health, Inc.","Massachusetts Coalition for Occupational Safety and Health, Inc.","$375,000.00","375,000.00","$187,500.00",Climate,Climate Resilience,To develop and expand strategies to protect workers and students in Massachusetts from increased health and safety risks resulting from climate change,11/29/2023,Grants,2023,Climate
23-35921--2,"23-35921--2 - Massachusetts Coalition for Occupational Safety and Health, Inc.","Massachusetts Coalition for Occupational Safety and Health, Inc.","$375,000.00","375,000.00","$187,500.00",Climate,Climate Resilience,To develop and expand strategies to protect workers and students in Massachusetts from increased health and safety risks resulting from climate change,11/29/2023,Grants,2023,Climate
23-36064,"23-36064 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$1,060,000.00","1,060,000.00","$250,000.00",Climate,Climate Resilience,To provide general operating support,3/7/2024,Grants,2024,Climate
23-36064--2,"23-36064--2 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$1,060,000.00","1,060,000.00","$60,000.00",Climate,Mobility,To provide general operating support,3/7/2024,Grants,2024,Climate
23-36064--3,"23-36064--3 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$1,060,000.00","1,060,000.00","$750,000.00",Special Initiatives,Waterfront Initiative,To provide general operating support,3/7/2024,Grants,2024,Waterfront
5334--2,"5334--2 - Oxfam-America, Inc.","Oxfam-America, Inc.","$350,000.00","350,000.00","$175,000.00",Former Global Program,,Artibonite Valley SRI Expansion Project,6/4/2014,Global Grants,2014,Old
5478--2,"5478--2 - Bessie Tartt Wilson Initiative for Children, Inc.","Bessie Tartt Wilson Initiative for Children, Inc.","$250,000.00","250,000.00","$125,000.00",Education,,"""Strengthening Early Education and Care in Massachusetts""",9/17/2014,Grants,2014,Education
5553--2,5553--2 - Pathfinder International,Pathfinder International,"$800,000.00","800,000.00","$400,000.00",Former Global Program,,"Population, Health, and the Environment Program in East Africa",9/17/2014,Global Grants,2014,Old
5747--2,5747--2 - Innovation Network for Communities,Innovation Network for Communities,"$1,160,000.00","1,160,000.00","$580,000.00",Climate,Mobility,Boston Green Ribbon Commission,3/2/2015,Grants,2015,Climate
5755--2,5755--2 - Smart Growth America,Smart Growth America,"$500,000.00","500,000.00","$310,000.00",Climate,Mobility,its LOCUS program,3/2/2015,Grants,2015,Climate
6027--2,6027--2 - United Way of Massachusetts Bay and Merrimack Valley,United Way of Massachusetts Bay and Merrimack Valley,"$200,000.00","200,000.00","$100,000.00",Education,,To provide operating support as Thrive in 5 pursues its current school-readiness agenda and simultaneously determines its path going forward.,9/16/2015,Grants,2015,Education
6115--2,6115--2 - Stand for Children Leadership Center,Stand for Children Leadership Center,"$400,000.00","400,000.00","$200,000.00",Education,,To provide core operating support for Stand for Children Massachusetts and its family engagement and organizing so that children have increased access to high-quality early and K-12 education,12/2/2015,Grants,2015,Education
6269--2,6269--2 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$4,250,000.00","4,250,000.00","$1,062,500.00",Climate,Clean Energy,"to support mobility, clean energy, and climate resiliency planning within MAPC's region",3/2/2016,Grants,2016,Climate
6656--2,6656--2 - Innovation Network for Communities,Innovation Network for Communities,"$75,000.00","75,000.00","$37,500.00",Climate,Climate Resilience,To provide supplemental support for the European climate innovations study trip focused on carbon neutrality and long-term climate resilience,8/2/2016,Grants,2016,Climate
6662--2,6662--2 - City of Boston,City of Boston,"$835,000.00","835,000.00","$417,500.00",Climate,Climate Resilience,To support community-level resilience projects as part of Climate Ready Boston Phase II,12/7/2016,Grants,2016,Climate
6677--2,"6677--2 - Conservation Law Foundation, Inc.","Conservation Law Foundation, Inc.","$1,200,000.00","1,200,000.00","$600,000.00",Climate,Mobility,to support regional climate policy and practice,12/7/2016,Grants,2016,Climate
6700--2,6700--2 - Greater Boston Chamber of Commerce,Greater Boston Chamber of Commerce,"$75,000.00","75,000.00","$37,500.00",Sector Effectiveness,Leadership,To support its Greater Boston Chamber of Commerce City Awake Delegates program for next-generation civic discourse and leadership,8/31/2016,Grants,2016,SectorEffect