Unique Tags,Translation
Former Global Strategies,Former Global Program
Global,Former Global Program
Global/Administrative Grants/Conference Scholarships,Former Global Program
GLOBAL/Administrative Grants/Conference Sponsorships,Former Global Program
Global/Administrative Grants/Memberships,Former Global Program
Global/Clean Energy,Former Global Program
Global/Community Health,Former Global Program
Global/Exploratory and Learning,Former Global Program
Global/Exploratory and Learning/Climate Resilience,Former Global Program
Global/Exploratory and Learning/Women and Girls,Former Global Program
Global/Sustainable Agriculture,Former Global Program
Overcome Poverty Abroad/Exploratory and Learning/Women and Girls,Former Global Program
Overcome Poverty Abroad/Sustainable Agriculture,Former Global Program
Climate/Climate (Top Level),Climate
Memberships and Sponsorships/Memberships,Don’t import these grants
Memberships and Sponsorships/Sponsorships/Sector Effectiveness,Don’t import these grants
Education/Secondary & Post-Secondary Achievement/Promote a new definition of student success,Education
Education/Secondary & Post-Secondary Achievement/Support new school models and programs,Education
Education/Secondary & Post-Secondary Achievement/Target prioritized system improvements,Education
Arts and Creativity/Organizational Development,Arts & Creativity
Organizational Development Support Fund,Arts & Creativity
Arts and Creativity/Activate Public Support,Arts & Creativity|Activating Public Support
"Arts and Creativity/Activate Public Support/Advocacy, Research, and Policy",Arts & Creativity|Activating Public Support
Arts and Creativity/Activate Public Support/Media and Communications,Arts & Creativity|Activating Public Support
Arts and Creativity/Invest in Adaptive and Relevant Organizations,Arts & Creativity|Adapting Boldly
Arts and Creativity/Foster Cross-Sectoral Relationships,Arts & Creativity|Spanning Sectors
Arts and Creativity/Foster Cross-Sectoral Relationships/Creative Placemaking,Arts & Creativity|Spanning Sectors
"Arts and Creativity/Foster Cross-Sectoral Relationships/Intersection of Arts, Science, and Technology",Arts & Creativity|Spanning Sectors
Climate/Organizational Development,Climate
Climate/Outcomes Measurement,Climate
Climate/Clean Energy,Climate|Clean Energy
Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,Climate|Clean Energy
Climate/Clean Energy/Other,Climate|Clean Energy
Climate/Clean Energy/Support National and Local Networks,Climate|Clean Energy
Climate/Clean Energy/Organizational Development,Climate|Climate Resilience
Climate/Climate Resilience,Climate|Climate Resilience
Climate/Climate Resilience/Advance Policy and Implementation,Climate|Climate Resilience
Climate/Climate Resilience/Build Awareness of Climate Impacts,Climate|Climate Resilience
Climate/Climate Resilience/Integrate Resilience Into the Fabric of Cities,Climate|Climate Resilience
Climate/Mobility,Climate|Mobility
Climate/Mobility/Develop Low-Carbon Communities,Climate|Mobility
Climate/Mobility/Modernize the Region's Transportation System,Climate|Mobility
Climate/Mobility/Organizational Development,Climate|Mobility
Climate/Mobility/Other,Climate|Mobility
Education/Increase High Quality School Options,Education
Education/Special Initiatives,Education
Education/Transition Grants,Education
Former Education Strategies,Education
Education/Building Public Will,Education|Build Public Will
Education/New Models,Education|Catalyze New Models
Education/Transition Grants/Early Education,Education|Early Education
Education/Invest In Educators,Education|Invest in Educators
Former Sector Effectiveness Strategies,Sector Effectiveness
Sector Effectiveness/Learning and Evaluation,Sector Effectiveness
Sector Effectiveness/Inform Sound Decision-Making,Sector Effectiveness|Decision Making
Sector Effectiveness/Inform Sound Decision-Making/Stimulate Informed Public Discourse,Sector Effectiveness|Decision Making
Sector Effectiveness/Inform Sound Decision-Making/Support the Provision and Use of Credible Information,Sector Effectiveness|Decision Making
Sector Effectiveness/Support the Philanthropic and Nonprofit Sector,Sector Effectiveness|Infrastructure
Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/General Infrastructure,Sector Effectiveness|Infrastructure
Sector Effectiveness/Support the Philanthropic and Nonprofit Sector/Targeted Support,Sector Effectiveness|Infrastructure
Sector Effectiveness/Invest in Leadership,Sector Effectiveness|Leadership
Sector Effectiveness/Invest in Leadership/Leadership Development,Sector Effectiveness|Leadership
Sector Effectiveness/Invest in Leadership/Barr Fellowship,Sector Effectiveness|Leadership|Barr Fellowship
Special Initiatives/Founding Trustee-Directed/Arts and Creativity,Special Initiatives
Special Initiatives/Founding Trustee-Directed/Climate,Special Initiatives
Special Initiatives/Founding Trustee-Directed/Education,Special Initiatives
Special Initiatives/Founding Trustee-Directed/Health,Special Initiatives
Special Initiatives/Racial Equity,Special Initiatives
Special Initiatives/Unassigned,Special Initiatives
Special Initiatives/Civic Leadership,Special Initiatives|Civil Rights & Healthy Democracy
Special Initiatives/Healthy Democracy/Ensure A Fair Census,Special Initiatives|Civil Rights & Healthy Democracy
Special Initiatives/Healthy Democracy/Protect Civil Rights,Special Initiatives|Civil Rights & Healthy Democracy
Special Initiatives/Healthy Democracy/Strengthen Journalism,Special Initiatives|Civil Rights & Healthy Democracy
Special Initiatives/COVID-19 Response Fund,Special Initiatives|COVID-19 Response
Racial Wealth Equity - Special Initiatives/Racial Wealth Equity,Special Initiatives|Racial Wealth Equity Initiative
Waterfront - Special Initiatives/Waterfront,Special Initiatives|Waterfront Initiative